Age,Gender,Education,Department,Job_Role,business_travel,daily_rate,HourlyRate,DistanceFromHome,performance_rating,years_at_company,years_in_current_role,years_since_last_promotion,years_with_curr_manager,Attrition
41,Female,2,Sales,Sales Executive,Travel Rarely,1102,94,1,3,6,4,0,5,1
49,Male,1,Research & Development,Research Scientist,Travel Frequently,279,61,8,4,10,7,1,7,0
37,Male,2,Research & Development,Laboratory Technician,Travel Rarely,1373,92,2,3,0,0,0,0,1
33,Female,4,Research & Development,Research Scientist,Travel Frequently,1392,56,3,3,8,7,3,0,0
27,Male,1,Research & Development,Laboratory Technician,Travel Rarely,591,40,2,3,2,2,2,2,0
32,Male,2,Research & Development,Laboratory Technician,Travel Frequently,1005,79,2,3,7,7,3,6,0
59,Female,3,Research & Development,Laboratory Technician,Travel Rarely,1324,81,3,4,1,0,0,0,0
30,Male,1,Research & Development,Laboratory Technician,Travel Rarely,1358,67,24,4,1,0,0,0,0
38,Male,3,Research & Development,Manufacturing Director,Travel Frequently,216,44,23,4,9,7,1,8,0
36,Male,3,Research & Development,Healthcare Representative,Travel Rarely,1299,94,27,3,7,7,7,7,0
35,Male,3,Research & Development,Laboratory Technician,Travel Rarely,809,84,16,3,5,4,0,3,0
29,Female,2,Research & Development,Laboratory Technician,Travel Rarely,153,49,15,3,9,5,0,8,0
31,Male,1,Research & Development,Research Scientist,Travel Rarely,670,31,26,3,5,2,4,3,0
34,Male,2,Research & Development,Laboratory Technician,Travel Rarely,1346,93,19,3,2,2,1,2,0
28,Male,3,Research & Development,Laboratory Technician,Travel Rarely,103,50,24,3,4,2,0,3,1
29,Female,4,Research & Development,Manufacturing Director,Travel Rarely,1389,51,21,3,10,9,8,8,0
32,Male,2,Research & Development,Research Scientist,Travel Rarely,334,80,5,3,6,2,0,5,0
22,Male,2,Research & Development,Laboratory Technician,Non-Travel,1123,96,16,3,1,0,0,0,0
53,Female,4,Sales,Manager,Travel Rarely,1219,78,2,3,25,8,3,7,0
38,Male,3,Research & Development,Research Scientist,Travel Rarely,371,45,2,3,3,2,1,2,0
24,Female,2,Research & Development,Manufacturing Director,Non-Travel,673,96,11,3,4,2,1,3,0
36,Male,4,Sales,Sales Representative,Travel Rarely,1218,82,9,4,5,3,0,3,1
34,Female,4,Research & Development,Research Director,Travel Rarely,419,53,7,3,12,6,2,11,0
21,Male,2,Research & Development,Research Scientist,Travel Rarely,391,96,15,3,0,0,0,0,0
34,Male,1,Research & Development,Research Scientist,Travel Rarely,699,83,6,3,4,2,1,3,1
53,Female,3,Research & Development,Manager,Travel Rarely,1282,58,5,3,14,13,4,8,0
32,Female,1,Research & Development,Research Scientist,Travel Frequently,1125,72,16,4,10,2,6,7,1
42,Male,4,Sales,Sales Executive,Travel Rarely,691,48,8,3,9,7,4,2,0
44,Female,4,Research & Development,Healthcare Representative,Travel Rarely,477,42,7,3,22,6,5,17,0
46,Female,4,Sales,Manager,Travel Rarely,705,83,2,3,2,2,2,1,0
33,Male,3,Research & Development,Laboratory Technician,Travel Rarely,924,78,2,3,1,1,0,0,0
44,Male,4,Research & Development,Healthcare Representative,Travel Rarely,1459,41,10,3,4,2,1,3,0
30,Male,2,Research & Development,Laboratory Technician,Travel Rarely,125,83,9,3,10,0,1,8,0
39,Male,3,Sales,Sales Representative,Travel Rarely,895,56,5,3,1,0,0,0,1
24,Male,3,Research & Development,Research Scientist,Travel Rarely,813,61,1,3,2,0,2,0,1
43,Female,2,Research & Development,Research Scientist,Travel Rarely,1273,72,2,3,5,3,1,4,0
50,Male,2,Sales,Sales Representative,Travel Rarely,869,86,3,3,3,2,0,2,1
35,Female,3,Sales,Sales Representative,Travel Rarely,890,97,2,3,2,2,2,2,0
36,Female,4,Research & Development,Research Scientist,Travel Rarely,852,82,5,3,1,1,0,0,0
33,Female,3,Sales,Sales Executive,Travel Frequently,1141,42,1,3,5,3,1,3,0
35,Male,2,Research & Development,Laboratory Technician,Travel Rarely,464,75,4,3,1,0,0,0,0
27,Female,4,Research & Development,Laboratory Technician,Travel Rarely,1240,33,2,3,1,0,0,0,0
26,Male,3,Research & Development,Laboratory Technician,Travel Rarely,1357,48,25,3,1,0,0,1,1
27,Male,3,Sales,Sales Executive,Travel Frequently,994,37,8,3,9,8,1,7,0
30,Female,2,Research & Development,Laboratory Technician,Travel Frequently,721,58,1,4,12,8,3,7,0
41,Female,3,Research & Development,Research Director,Travel Rarely,1360,49,12,3,22,15,15,8,1
34,Male,4,Sales,Sales Executive,Non-Travel,1065,72,23,4,9,5,8,7,0
37,Male,2,Research & Development,Research Scientist,Travel Rarely,408,73,19,4,1,0,0,0,0
46,Male,4,Sales,Sales Executive,Travel Frequently,1211,98,5,4,9,6,0,8,0
35,Male,1,Research & Development,Laboratory Technician,Travel Rarely,1229,36,8,3,1,0,0,1,0
48,Male,2,Research & Development,Laboratory Technician,Travel Rarely,626,98,1,3,1,0,0,0,1
28,Male,4,Research & Development,Laboratory Technician,Travel Rarely,1434,50,5,3,2,2,2,2,1
44,Female,5,Sales,Sales Executive,Travel Rarely,1488,75,1,4,4,3,1,3,0
35,Male,2,Research & Development,Healthcare Representative,Non-Travel,1097,79,11,3,4,0,2,3,0
26,Female,3,Sales,Sales Executive,Travel Rarely,1443,47,23,3,2,2,0,0,0
